HAGRID,Species,Name,Longevity,Kingdom,Phylum,Class,Order,Family,Genus,Female sexual maturity,Male sexual maturity,Gestation,Weaning,Litter size,Litters per year,Inter-litter interval,Weight at birth,Weight at weaning,Adult weight,Postnatal growth rate,Typical body temperature,Basal metabolic rate,Body mass,Metabolic rate per body mass,Incubation,Clutch size,Clutches per year,Weight at hatching,IMR,MRDT,Metamorphosis,Resting metabolic rate,Interbirth interval,Clutch or litter size,Breedings per year
923,Vestiaria coccinea,Iiwi,8.8, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Fringillidae, Vestiaria,,,,,,,,,,18.3,,,,,,,,,,,,,,,,
1897,Aepyceros melampus,Impala,25.6, Animalia, Chordata, Mammalia (Taxon entry), Artiodactyla, Bovidae, Aepyceros,456.0,395.0,198.0,167.0,1.0,1.0,365.0,5550.0,15900.0,52500.0,0.00431,,,,,,,,,,,,,,,
592,Columbina inca,Inca dove,13.3, Animalia, Chordata, Aves (Taxon entry), Columbiformes, Columbidae, Columbina,,,,,,,,,,50.0,,,,,,14.0,2.0,3.5,,,,,,,,
4113,Trachurus murphyi,Inca scad,16, Animalia, Chordata, Teleostei, Perciformes, Carangidae, Trachurus,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Larosterna inca,Inca tern,26, Animalia, Chordata, Aves (Taxon entry), Charadriiformes, Laridae, Larosterna,,,28.0,,,,,,,219.0,,,,,,,,,,,,,,,,
4478,Stenodus leucichthys,Inconnu,22, Animalia, Chordata, Teleostei, Salmoniformes, Salmonidae, Stenodus,4015.0,3650.0,,,,,,,,22000.0,,,,,,,,,,,,,,,,
3721,Geoclemys hamiltonii,Indian black pond turtle,19.2, Animalia, Chordata, Reptilia (Taxon entry), Testudines (Taxon entry), Geoemydidae, Geoclemys,,,,,,,,,,,,,,,,,,,,,,,,,,
3735,Melanochelys trijuga,Indian black turtle,40, Animalia, Chordata, Reptilia (Taxon entry), Testudines (Taxon entry), Geoemydidae, Melanochelys,,,,,,,,,,760.0,,,,,,,,,,,,,,,,
3271,Calotes versicolor,Indian changeable lizard,5, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Agamidae, Calotes,,,,,,,,,,20.04,,,,,,,,,,,,,,,,
3450,Naja naja,Indian cobra,32.3, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Elapidae, Naja,,,,,,,,,,,,,,,,,,,,,,,,,,
3447,Naja kaouthia,"Indian cobra, or Monocled cobra",25.4, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Elapidae, Naja,,,,,,,,,,3113.0,,,,,,,,,,,,,,,,
3010,Hystrix indica,Indian crested porcupine,27.1, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Hystricidae, Hystrix,,,113.0,,2.0,,109.0,,,20000.0,,,,,,,,,,,,,,,,
3789,Lissemys punctata,Indian flapshell turtle,17.8, Animalia, Chordata, Reptilia (Taxon entry), Testudines (Taxon entry), Trionychidae, Lissemys,,,,,,,,,,1445.0,,,,,,,,,,,,,,,,
2362,Pteropus giganteus,Indian flying fox,44, Animalia, Chordata, Mammalia (Taxon entry), Chiroptera (Taxon entry), Pteropodidae, Pteropus,365.0,365.0,145.0,120.0,1.0,1.0,365.0,45.0,,1175.0,,310,1.622,562.2,0.002885,,,,,,,,,,,
3089,Tatera indica,Indian gerbil,7, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Muridae, Tatera,77.0,91.0,26.0,24.0,5.4,4.2,48.0,3.0,,146.7,0.0241,309,0.422,86.9,0.004856,,,,,,,,,,,
3157,Ratufa indica,Indian giant squirrel,20, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Sciuridae, Ratufa,,,84.0,,1.0,,,,,2000.0,,,,,,,,,,,,,,,,
2148,Herpestes edwardsi,Indian gray mongoose,12.3, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Herpestidae, Herpestes,311.0,,59.0,,2.6,3.3,110.0,,,1000.0,,,,,,,,,,,,,,,,
3656,Trimeresurus gramineus,Indian green tree viper,8.4, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Viperidae, Trimeresurus,,,,,,,,,,,,,,,,,,,,,,,,,,
3434,Bungarus caeruleus,Indian krait,17.4, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Elapidae, Bungarus,,,,,,,,,,1154.0,,,,,,,,,,,,,,,,
3590,Varanus indicus,"Indian monitor lizard, or Indian monitor",17.4, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Varanidae, Varanus,578.0,522.0,,,,,,,,1287.0,,,,,,,,,,,,,,,,
2032,Muntiacus muntjak,Indian muntjac,18.8, Animalia, Chordata, Mammalia (Taxon entry), Artiodactyla, Cervidae (Taxon entry), Muntiacus,272.0,332.0,210.0,61.0,1.17,,241.0,1223.0,,21000.0,,,,,,,,,,,,,,,,
3848,Sardinella longiceps,Indian oil sardine,4, Animalia, Chordata, Teleostei, Clupeiformes, Clupeidae, Sardinella,730.0,719.0,,,,,,,,110.0,,,,,,,,,,,,,,,,
691,Pavo cristatus,Indian peafowl,23.2, Animalia, Chordata, Aves (Taxon entry), Galliformes, Phasianidae, Pavo,730.0,730.0,,,,,,,,4200.0,0.031,,,,,29.0,5.0,,120.0,0.06,2.2,,,,,
3547,Python molurus,Indian python,34.2, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Pythonidae, Python,1095.0,1095.0,,,,,,,,12370.0,,303,,12370.0,0.000102,100.0,40.0,,,,,,1.2661,,,
3381,Ptyas mucosus,Indian rat snake,11.3, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Colubridae, Ptyas,,,,,,,,,,,,,,,,,,,,,,,,,,
2647,Rhinoceros unicornis,Indian rhinoceros,43.5, Animalia, Chordata, Mammalia (Taxon entry), Perissodactyla, Rhinocerotidae, Rhinoceros,1678.0,2557.0,479.0,456.0,1.0,0.3,850.0,58000.0,885812.0,1602330.0,,311,,,,,,,,,,,,,,
620,Coracias benghalensis,Indian roller,8.9, Animalia, Chordata, Aves (Taxon entry), Coraciiformes, Coraciidae, Coracias,,,,,,,,,,158.0,,,,,,,,,,,,,,,,
3738,Pangshura tecta,Indian roofed turtle,11, Animalia, Chordata, Reptilia (Taxon entry), Testudines (Taxon entry), Geoemydidae, Pangshura,,,,,,,,,,,,,,,,,,,,,,,,,,
2066,Moschiola meminna,Indian spotted chevrotain,14.5, Animalia, Chordata, Mammalia (Taxon entry), Artiodactyla, Tragulidae, Moschiola,,,150.0,,1.5,,,319.0,,2450.0,,,,,,,,,,,,,,,,
3770,Geochelone elegans,Indian star tortoise,24.3, Animalia, Chordata, Reptilia (Taxon entry), Testudines (Taxon entry), Testudinidae, Geochelone,3650.0,,,,,,,,,4225.0,,,,,,,,,,,,,,,,
1448,Thalassarche carteri,Indian yellow-nosed albatross,27.7, Animalia, Chordata, Aves (Taxon entry), Procellariiformes, Diomedeidae, Thalassarche,3324.0,,,,,,,,,2115.0,,,,,,,,,,,,,,,,
2410,Myotis sodalis,Indiana bat,20, Animalia, Chordata, Mammalia (Taxon entry), Chiroptera (Taxon entry), Vespertilionidae, Myotis,357.0,,,,1.0,1.0,,4.53,,7.7,,,,,,,,,,,,,,,,
792,Passerina cyanea,Indigo bunting,11, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Cardinalidae, Passerina,365.0,365.0,,,,,,,,15.0,,,,,,12.0,3.5,1.0,2.1,,,,,,,
3341,Drymarchon corais,Indigo snake,25.9, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Colubridae, Drymarchon,,,,,,,,,,7118.0,,,,,,,6.0,,,,,,,,,
3455,Naja sputatrix,"Indonesian cobra, or Indian spitting cobra, or Indochinese spitting cobra",13.5, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Elapidae, Naja,,,,,,,,,,3113.0,,,,,,,,,,,,,,,,
3794,Anguilla bicolor,Indonesian shortfin eel,20, Animalia, Chordata, Teleostei, Anguilliformes, Anguillidae, Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,
3806,Menidia beryllina,Inland silverside,2, Animalia, Chordata, Teleostei, Atheriniformes, Atherinopsidae, Menidia,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Insecta,Insects,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4273,Etheostoma exile,Iowa darter,3, Animalia, Chordata, Teleostei, Perciformes, Percidae, Etheostoma,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,Psitteuteles iris,Iris lorikeet,24.1, Animalia, Chordata, Aves (Taxon entry), Psittaciformes (Taxon entry), Psittacidae, Psitteuteles,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,Coregonus pollan,Irish pollan,10, Animalia, Chordata, Teleostei, Salmoniformes, Salmonidae, Coregonus,1277.0,1277.0,,,,,,,,247.5,,,,,,,,,,,,,,,,
2294,Orcaella brevirostris,Irrawaddy dolphin,30, Animalia, Chordata, Mammalia (Taxon entry), Cetacea (Taxon entry), Delphinidae (Taxon entry), Orcaella,1826.0,1826.0,426.0,471.0,1.0,,,12300.0,45000.0,190000.0,,,,,,,,,,,,,,,,
3667,Xantusia riversiana,Island night lizard,13.9, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Xantusiidae, Xantusia,,,98.0,,,,,,,14.66,,,,,,,,,,,,,,,,
813,Aphelocoma insularis,Island scrub jay,15.3, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Corvidae, Aphelocoma,365.0,365.0,,,,,,,,114.0,,,,,,18.0,4.0,1.0,,,,,,,,
180,Speleomantes italicus,Italian cave salamander,10.6, Animalia, Chordata, Amphibia (Taxon entry), Caudata, Plethodontidae, Speleomantes,1278.0,1278.0,,,,,,,,,,,,,,304.0,10.0,,,,,,,,,
203,Triturus carnifex,Italian crested newt,11, Animalia, Chordata, Amphibia (Taxon entry), Caudata, Salamandridae, Triturus,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Pelophylax perezi,Italian green frog,6.8, Animalia, Chordata, Amphibia (Taxon entry), Anura, Ranidae, Pelophylax,912.0,912.0,,,,,,,,,,,,,,6.0,,,,,,70.0,,,,
486,Pagophila eburnea,Ivory gull,23.9, Animalia, Chordata, Aves (Taxon entry), Charadriiformes, Laridae, Pagophila,730.0,730.0,,,,,,,,550.0,,,,,,25.0,2.0,1.0,,,,,,,,
578,Jabiru mycteria,Jabiru,27.4, Animalia, Chordata, Aves (Taxon entry), Ciconiiformes, Ciconiidae, Jabiru,,,,,,,,,,5470.0,,,,,,,,,,,,,,,,
4115,Trachurus symmetricus,Jack mackerel,30, Animalia, Chordata, Teleostei, Perciformes, Carangidae, Trachurus,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Lymnocryptes minimus,Jack snipe,12.3, Animalia, Chordata, Aves (Taxon entry), Charadriiformes, Scolopacidae, Lymnocryptes,365.0,365.0,,,,,,,,50.2,,,,,,,,,,,,,,,,
1671,Spheniscus demersus,Jackass penguin,27.3, Animalia, Chordata, Aves (Taxon entry), Sphenisciformes, Spheniscidae, Spheniscus,727.0,,,,,,,,,3135.0,,,,,,,,,,,,,,,,
3803,Atherinopsis californiensis,Jacksmelt,11, Animalia, Chordata, Teleostei, Atheriniformes, Atherinopsidae, Atherinopsis,,,,,,,,,,,,,,,,,,,,,,,,,,
3318,Trioceros jacksonii,Jackson's chameleon,8.2, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Chamaeleonidae, Trioceros,,,,,,,,,,32.565,,,,,,190.0,,,,,,,,,,
1210,Microeca fascinans,Jacky winter,5.3, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Petroicidae, Microeca,,,,,,,,,,14.7583,,,,,,,,,,,,,,,,
2128,Panthera onca,Jaguar,28, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Felidae, Panthera,730.0,730.0,99.0,126.0,2.0,0.5,365.0,820.0,5034.0,81150.0,0.00721,310,62.419,50400.0,0.001238,,,,,,,,,,,
2138,Puma yagouaroundi,Jaguarundi,18.6, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Felidae, Puma,803.0,,73.0,,2.0,2.0,182.0,,,7000.0,,312,9.69,8400.0,0.001154,,,,,,,,,,,
3300,Chilabothrus subflavus,Jamaica boa,24.3, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Boidae, Chilabothrus,,,,,,,,,,,,,,,,,,,,,,,,,,
2338,Artibeus jamaicensis,Jamaican fruit-eating bat,19.2, Animalia, Chordata, Mammalia (Taxon entry), Chiroptera (Taxon entry), Phyllostomidae, Artibeus,289.0,289.0,76.0,,1.0,2.0,,5.9,,42.2,,310,0.359,46.1,0.007787,,,,,,,,,,,
949,Icterus leucopteryx,Jamaican oriole,12.2, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Icteridae, Icterus,,,,,,,,,,36.9,,,,,,,,,,,,,,,,
3438,Dendroaspis jamesoni,Jameson's mamba,13.1, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Elapidae, Dendroaspis,,,,,,,,,,19310.0,,,,,,,,,,,,,,,,
3856,Engraulis japonicus,Japanese anchovy,3, Animalia, Chordata, Teleostei, Clupeiformes, Engraulidae, Engraulis,365.0,365.0,,,,,,,,,,,,,,,,,,,,,,,,
151,Onychodactylus japonicus,Japanese clawed salamander,14.2, Animalia, Chordata, Amphibia (Taxon entry), Caudata, Hynobiidae, Onychodactylus,,,,,,,,,,,,,,,,,17.0,,,,,,,,,
2982,Glirulus japonicus,Japanese dormouse,7, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Gliridae, Glirulus,145.0,,30.0,,4.0,1.5,,,,27.0,,,,,,,,,,,,,,,,
186,Cynops pyrrhogaster,Japanese firebelly newt,25, Animalia, Chordata, Amphibia (Taxon entry), Caudata, Salamandridae, Cynops,913.0,913.0,,,,,,,,,,,,,,20.0,200.0,,,,,,,,,
3349,Elaphe quadrivirgata,Japanese four-lined ratsnake,16.8, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Colubridae, Elaphe,1460.0,1460.0,,,,,,,,6561.0,,,,,,,,,,,,,,,,
3148,Petaurista leucogenys,Japanese giant flying squirrel,19.2, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Sciuridae, Petaurista,,,74.0,,,,,5.0,,1650.0,,,,,,,,,,,,,,,,
144,Andrias japonicus,Japanese giant salamander,55, Animalia, Chordata, Amphibia (Taxon entry), Caudata, Cryptobranchidae, Andrias,1825.0,1825.0,,,,,,,,,,,,,,60.0,500.0,,,,,,,,,
2595,Lepus brachyurus,Japanese hare,13, Animalia, Chordata, Mammalia (Taxon entry), Lagomorpha, Leporidae, Lepus,,,38.0,,2.1,2.5,,,,2519.0,,,,,,,,,,,,,,,,
